FileName,Full_Path,Label_0.5,Label_0.8,Speech_prob,Mammal_prob,Silence_prob,Stream_prob,Aircraft_prob,Frog_prob,Cicada_prob,Insect_prob,Rain_prob,Wind_prob,Bird_prob,Owl_prob
GWB02_20250221_010000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-008\GW_CheckAudio\GWB02_20250221_010000.wav,None,None,0.0507,0.0011,0.0162,0.0062,0.0058,0.0006,0.1704,0.0018,0.0175,0.0054,0.0036,0.0003
GWB02_20250224_050000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-008\GW_CheckAudio\GWB02_20250224_050000.wav,None,None,0.2279,0.0032,0.0172,0.0021,0.0486,0.0027,0.0171,0.0148,0.0012,0.1172,0.0731,0.0001
GWB02_20250223_233000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-008\GW_CheckAudio\GWB02_20250223_233000.wav,None,None,0.3901,0.0057,0.015,0.0042,0.0478,0.0053,0.0439,0.0264,0.0013,0.0541,0.0565,0.0003
GWB02_20250314_153000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-008\GW_CheckAudio\GWB02_20250314_153000.wav,None,None,0.2103,0.0017,0.0456,0.0028,0.0028,0.0074,0.0534,0.0925,0.0011,0.4782,0.1468,0.0007
GWB02_20250326_184500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-007\GW_CheckAudio\GWB02_20250326_184500.wav,None,None,0.3424,0.0014,0.0465,0.0064,0.0097,0.0031,0.4294,0.0098,0.0265,0.0027,0.0123,0.0009
GWB02_20250501_151500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-005\GW_CheckAudio\GWB02_20250501_151500.wav,None,None,0.0952,0.0034,0.0115,0.0147,0.0278,0.003,0.2158,0.1769,0.0034,0.1713,0.071,0.0008
GWB02_20250622_144500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-003\GW_CheckAudio\GWB02_20250622_144500.wav,None,None,0.4541,0.0009,0.005,0.0035,0.0093,0.0062,0.1218,0.3757,0.0003,0.1876,0.1259,0.0002
GWB02_20250625_221500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-002\GW_CheckAudio\GWB02_20250625_221500.wav,None,None,0.3055,0.003,0.043,0.0263,0.0284,0.0055,0.4348,0.0065,0.0307,0.0012,0.0113,0.002
GWB02_20250706_220000,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-002\GW_CheckAudio\GWB02_20250706_220000.wav,None,None,0.2321,0.0036,0.0818,0.0121,0.0078,0.005,0.0982,0.0188,0.0161,0.0511,0.0293,0.0011
GWB02_20241228_171500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-006\GW_CheckAudio\GWB02_20241228_171500.wav,None,None,0.1188,0.0026,0.0235,0.0277,0.0053,0.0012,0.0831,0.0071,0.0016,0.1843,0.0213,0.0003
GWB03_20250310_141500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-008\GW_CheckAudio\GWB03_20250310_141500.wav,None,None,0.3338,0.0012,0.0192,0.0071,0.02,0.0014,0.0922,0.0173,0.0025,0.0147,0.0025,0.0002
GWB03_20250503_201500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-005\GW_CheckAudio\GWB03_20250503_201500.wav,None,None,0.0188,0.0007,0.0158,0.0097,0.0057,0.0011,0.1373,0.0018,0.0149,0.0295,0.006,0.0003
GWB03_20250725_104500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-001\GW_CheckAudio\GWB03_20250725_104500.wav,Wind,None,0.0393,0.0012,0.0058,0.0028,0.0136,0.001,0.1278,0.0769,0.0029,0.5409,0.434,0.0005
GWB03_20241206_104500,D:\audio_label_gw35\GW_CheckAudio-20250903T053323Z-1-007\GW_CheckAudio\GWB03_20241206_104500.wav,None,None,0.1822,0.0019,0.0183,0.045,0.0351,0.0061,0.0954,0.0698,0.0052,0.0546,0.0739,0.0016
